Timestamp,BMS_Voltage_V,BMS_Current_A,BMS_Temperature_C,State_of_Charge_%,Inverter_Efficiency_%,Inverter_Temperature_C,Charger_Input_Power_kW,Charger_Efficiency_%,LV_Battery_Voltage_V,LV_Battery_Current_A,Coolant_Flow_Rate_L_min,Coolant_Temperature_C,Vehicle_Speed_kmph,Acceleration_m_s2,Braking_Force_N,Road_Gradient_%,Energy_Consumption_kWh_per_km,Torque_Requested_Nm,Torque_Delivered_Nm,Condition
2025-07-24 08:05:00,371.95,58.58,38.5,91.8,95.92,63.2,2.01,90.83,12.15,-15.43,17.2,54.6,52.8,-2.98,155.2,-8.64,0.226,35.7,200.8,Normal
2025-07-24 08:10:00,370.81,43.0,42.7,87.1,91.99,30.1,15.95,86.77,14.17,-8.06,15.8,35.2,98.7,-1.35,2837.6,-5.38,0.122,393.6,280.3,Normal
2025-07-24 08:15:00,356.08,-74.21,44.0,85.9,90.12,35.6,36.63,85.26,13.18,6.28,18.4,32.9,76.2,-1.88,59.0,4.16,0.118,271.8,142.2,Normal
2025-07-24 08:20:00,367.89,-26.7,48.9,89.9,87.75,60.0,38.73,90.14,13.04,-16.34,25.7,38.7,56.2,1.12,1330.6,8.61,0.306,6.3,298.8,Normal
2025-07-24 08:25:00,355.65,13.81,40.7,83.2,91.99,39.9,2.15,91.53,12.86,-12.87,15.2,54.9,19.1,-2.53,3580.7,8.2,0.22,226.8,375.2,Normal
2025-07-24 08:30:00,301.65,-69.78,32.5,83.6,88.18,61.4,13.72,89.0,14.28,18.99,20.4,53.3,16.9,-1.8,695.7,-4.51,0.367,155.7,393.0,Normal
2025-07-24 08:35:00,306.27,-65.85,29.3,87.1,88.67,68.8,28.58,86.04,12.38,-12.13,20.0,46.3,99.4,-0.8,3000.4,-8.97,0.367,82.7,325.1,Normal
2025-07-24 08:40:00,368.0,58.81,46.7,83.3,94.34,74.3,27.86,89.96,13.45,8.42,19.4,36.3,96.1,1.74,1428.3,5.55,0.254,124.7,42.7,Normal
2025-07-24 08:45:00,303.27,21.98,22.0,81.1,95.66,68.8,13.6,85.87,12.82,-5.24,28.8,44.3,30.2,2.58,1121.8,1.63,0.268,50.9,124.3,Normal
2025-07-24 08:50:00,349.02,30.25,27.6,85.3,91.57,35.4,5.07,94.82,12.63,-0.73,20.9,56.1,21.2,-0.52,193.8,-0.4,0.21,326.9,130.6,Normal
2025-07-24 08:55:00,343.99,53.4,47.3,84.5,91.0,67.9,10.29,94.07,13.09,14.16,15.3,37.7,71.2,-0.79,4649.0,-2.73,0.37,329.4,179.1,Normal
2025-07-24 09:00:00,379.14,67.63,33.4,83.7,94.81,52.0,18.57,94.63,12.82,0.42,28.1,48.0,95.7,1.85,3669.9,-8.4,0.28,371.0,115.1,Normal
2025-07-24 09:05:00,313.61,-31.48,42.8,85.7,97.55,74.7,30.07,90.97,12.5,7.72,11.4,33.4,5.2,2.95,4671.8,-2.24,0.371,236.3,111.8,Normal
2025-07-24 09:10:00,355.02,37.7,36.6,79.8,95.09,30.7,34.82,88.38,14.38,12.22,27.6,40.7,61.5,-2.97,4989.5,6.97,0.38,148.8,5.6,Normal
2025-07-24 09:15:00,308.95,-37.19,49.9,79.1,90.53,62.8,28.83,94.75,13.36,11.15,19.5,42.8,71.4,2.5,4409.7,7.28,0.373,332.1,324.4,Normal
2025-07-24 09:20:00,370.8,-22.78,37.7,81.5,91.22,60.2,12.73,89.78,14.3,1.8,29.8,48.7,59.5,2.34,3359.3,8.03,0.156,169.6,395.5,Normal
2025-07-24 09:25:00,305.41,41.64,21.4,81.1,96.9,78.3,45.84,92.99,13.5,-16.62,22.1,40.2,44.1,-0.02,1872.9,8.76,0.238,47.7,29.0,Normal
2025-07-24 09:30:00,355.18,95.4,43.6,79.2,97.35,36.8,30.33,92.91,12.46,15.25,22.0,44.7,52.4,-2.0,1446.3,3.81,0.228,172.9,10.4,Normal
2025-07-24 09:35:00,314.59,-34.07,21.4,78.2,95.99,75.0,30.21,88.82,13.04,-5.11,21.5,52.3,83.3,-1.88,3701.0,-9.42,0.178,98.8,227.4,Normal
2025-07-24 09:40:00,350.49,37.02,25.5,76.1,92.05,70.6,48.39,92.55,13.95,-6.42,22.1,48.7,1.7,2.63,4609.1,5.18,0.376,252.1,271.4,Normal
2025-07-24 09:45:00,361.64,44.2,47.1,79.1,94.5,60.8,27.21,85.01,13.41,4.12,24.4,53.3,27.6,-0.37,347.4,3.74,0.247,20.9,120.1,Normal
2025-07-24 09:50:00,363.4,27.46,42.8,78.0,95.07,34.3,6.93,92.14,13.61,5.89,15.5,45.7,111.6,-2.83,711.9,-2.75,0.128,4.2,230.7,Normal
2025-07-24 09:55:00,342.23,9.91,28.7,78.3,87.47,76.4,13.64,89.1,14.44,0.86,26.9,60.0,1.9,1.41,4635.8,-6.81,0.22,125.9,99.1,Normal
2025-07-24 10:00:00,348.1,-72.96,46.5,77.6,97.6,54.2,45.92,86.06,12.44,-1.84,12.5,50.0,29.2,0.99,2783.1,2.48,0.14,120.3,48.9,Normal
2025-07-24 10:05:00,325.3,-57.48,20.9,77.4,96.85,61.2,11.23,88.5,14.27,-8.49,25.8,52.0,49.9,-0.11,1734.6,-5.43,0.207,268.8,1.0,Normal
2025-07-24 10:10:00,317.77,-27.87,23.6,75.4,92.15,62.2,28.96,94.4,12.88,2.08,29.8,36.6,92.1,-1.42,4717.2,-1.69,0.336,383.6,119.3,Normal
2025-07-24 10:15:00,361.16,-35.5,35.0,72.9,94.95,34.2,48.89,94.57,12.74,-16.37,24.1,47.7,38.6,1.91,3130.2,-3.98,0.267,67.1,42.7,Normal
2025-07-24 10:20:00,384.68,-27.41,36.0,72.5,88.56,39.7,34.9,94.14,14.19,-7.62,24.7,31.5,112.9,-1.9,432.3,3.17,0.131,74.9,61.4,Normal
2025-07-24 10:25:00,352.62,25.37,31.2,71.8,93.67,50.2,0.5,85.99,12.78,-9.88,23.2,33.5,4.8,2.78,1428.9,-3.33,0.33,252.8,9.4,Normal
2025-07-24 10:30:00,379.54,21.19,24.4,69.3,90.09,34.0,26.3,92.23,13.69,8.58,18.8,46.1,7.2,-1.14,2163.6,-8.08,0.173,215.7,317.3,Normal
2025-07-24 10:35:00,329.08,99.58,41.6,70.5,97.94,48.7,35.0,86.0,14.42,-17.17,20.2,31.5,76.6,2.31,1122.6,8.92,0.311,379.5,215.5,Normal
2025-07-24 10:40:00,387.75,89.02,29.1,69.3,93.78,48.2,43.75,89.88,13.25,-15.48,29.0,58.0,35.9,1.48,1049.4,-0.6,0.328,236.4,186.7,Normal
2025-07-24 10:45:00,388.85,-37.3,42.3,68.0,88.13,34.8,24.5,92.26,14.27,10.25,18.2,36.1,113.0,-1.29,1827.1,-8.59,0.202,250.5,139.1,Normal
2025-07-24 10:50:00,397.42,60.43,34.6,69.4,94.82,30.5,48.95,86.41,12.63,0.44,14.9,50.2,86.5,-2.77,559.2,1.63,0.333,232.5,79.5,Normal
2025-07-24 10:55:00,396.59,-89.01,25.0,69.4,97.91,47.5,29.68,86.29,13.4,-11.84,25.0,40.3,98.1,2.47,4853.1,-8.47,0.348,330.6,96.0,Normal
2025-07-24 11:00:00,352.31,60.39,28.9,68.8,90.61,59.4,6.68,89.37,12.25,6.98,12.7,46.1,21.0,-0.02,2290.3,5.95,0.371,62.5,24.5,Normal
2025-07-24 11:05:00,382.42,88.3,23.9,67.5,89.67,53.3,7.55,88.25,12.94,-4.15,21.9,48.9,119.1,-1.37,1584.6,-3.01,0.176,57.4,380.2,Normal
2025-07-24 11:10:00,394.72,-81.49,29.0,65.8,85.17,70.6,4.05,86.92,13.5,15.0,19.8,48.0,82.4,-1.43,2048.9,5.42,0.161,252.6,227.5,Normal
2025-07-24 11:15:00,384.24,12.29,42.6,70.8,90.0,33.5,34.84,94.85,14.13,12.01,13.2,38.0,119.1,-0.34,2369.3,2.5,0.328,52.8,203.9,Normal
2025-07-24 11:20:00,345.16,-43.26,20.1,65.4,86.93,51.5,30.43,86.89,14.22,13.89,20.1,57.4,105.5,1.96,1113.2,-4.85,0.106,191.1,69.5,Normal
2025-07-24 11:25:00,334.9,-44.53,23.0,62.8,94.51,70.6,40.28,94.95,13.04,18.43,21.0,37.9,7.3,-2.9,2116.3,4.91,0.171,216.5,208.6,Normal
2025-07-24 11:30:00,357.38,-49.49,33.7,66.2,88.21,51.3,32.21,87.47,12.98,-11.76,21.4,30.5,26.9,-2.25,2942.8,-9.34,0.228,342.0,42.9,Normal
2025-07-24 11:35:00,371.06,-62.32,25.6,67.8,92.08,63.3,5.06,88.39,14.29,14.98,28.7,38.7,58.0,-2.66,2487.3,5.59,0.397,121.4,97.1,Normal
2025-07-24 11:40:00,378.57,28.1,27.8,64.3,95.51,34.5,45.49,87.06,12.96,-2.2,24.3,48.8,29.8,1.86,1857.7,8.75,0.393,241.6,28.2,Normal
2025-07-24 11:45:00,392.21,-84.58,40.6,65.0,97.66,35.2,13.03,91.29,12.35,-5.14,28.9,37.1,65.7,2.02,1094.6,-8.77,0.126,158.9,279.1,Normal
2025-07-24 11:50:00,398.34,84.5,28.8,64.9,92.37,60.5,12.1,92.2,13.76,-16.29,25.1,38.9,2.0,-0.89,4042.3,-8.48,0.352,55.6,28.8,Normal
2025-07-24 11:55:00,379.93,56.86,41.7,64.6,90.79,46.1,6.1,89.32,12.01,-12.73,14.2,31.4,112.3,0.49,225.7,-8.89,0.36,259.7,293.6,Normal
2025-07-24 12:00:00,399.3,-58.06,22.8,66.8,95.97,57.4,1.58,90.64,13.07,18.42,19.3,49.4,70.0,-1.17,2776.7,3.91,0.318,348.2,227.6,Normal
2025-07-24 12:05:00,318.51,-45.93,30.2,61.0,90.2,60.3,30.43,90.06,13.59,-9.11,20.6,50.4,114.9,0.96,4724.1,-4.28,0.249,230.0,193.0,Normal
2025-07-24 12:10:00,368.96,93.7,39.3,65.0,92.59,70.3,28.95,91.91,14.46,-13.13,13.5,44.4,73.6,-1.61,4397.9,-7.31,0.295,244.0,347.7,Normal
2025-07-24 12:15:00,348.07,14.97,27.0,64.5,85.77,57.5,35.28,87.01,14.2,-15.05,24.7,50.8,43.7,-2.72,323.4,3.0,0.203,96.3,288.1,Normal
2025-07-24 12:20:00,393.58,-42.08,43.7,62.1,92.18,40.2,27.89,89.75,13.38,-18.73,12.3,58.5,43.6,0.43,1427.7,3.04,0.323,149.7,118.5,Normal
2025-07-24 12:25:00,365.82,-17.7,38.1,60.4,89.55,39.4,42.4,88.4,12.86,0.27,15.6,30.1,57.9,-2.34,468.0,-0.62,0.286,219.0,105.2,Normal
2025-07-24 12:30:00,314.37,94.61,48.3,58.7,92.16,68.6,28.32,94.88,12.26,4.82,17.5,46.3,80.7,2.79,2350.4,1.34,0.283,233.8,204.2,Normal
2025-07-24 12:35:00,311.38,-95.17,21.4,60.1,92.63,75.4,35.12,92.18,12.81,-10.63,23.1,43.8,78.1,-1.9,3621.5,9.92,0.213,342.8,86.2,Normal
2025-07-24 12:40:00,385.86,59.76,47.7,60.1,93.96,79.9,0.42,90.81,13.6,-0.79,15.7,45.8,111.2,0.31,660.1,8.78,0.29,12.0,364.4,Normal
2025-07-24 12:45:00,334.04,16.42,21.9,59.2,96.88,57.2,11.56,92.71,12.9,-9.95,17.7,32.6,93.1,-2.5,563.2,9.08,0.338,151.3,183.5,Normal
2025-07-24 12:50:00,398.92,56.37,23.0,61.6,88.33,72.8,4.34,86.7,12.36,8.36,25.9,57.6,40.3,2.3,4477.9,-7.71,0.349,64.0,49.0,Normal
2025-07-24 12:55:00,313.49,-78.13,40.8,57.9,89.39,47.7,39.11,89.86,12.8,5.57,25.8,45.0,2.2,-1.66,2320.6,-0.46,0.368,307.5,198.2,Normal
2025-07-24 13:00:00,396.15,-55.15,23.6,59.8,95.27,55.8,25.45,93.71,13.95,11.36,22.4,49.4,116.7,-1.77,642.1,8.46,0.223,156.3,90.1,Normal
2025-07-24 13:05:00,363.35,-69.1,24.1,60.3,97.22,64.0,12.79,90.25,14.33,8.01,14.8,37.5,3.1,2.35,664.4,5.51,0.17,140.1,373.6,Normal
2025-07-24 13:10:00,374.95,35.07,30.8,54.9,90.07,78.9,6.38,85.57,14.33,3.99,19.1,49.6,87.5,-2.88,4054.2,-0.4,0.288,182.9,169.9,Normal
2025-07-24 13:15:00,314.63,77.58,27.2,57.9,97.34,63.2,18.55,86.64,12.48,15.85,24.3,31.6,104.2,-1.1,379.7,5.38,0.305,286.5,149.3,Normal
2025-07-24 13:20:00,337.05,52.21,48.5,54.4,87.23,37.1,34.54,85.72,13.97,3.4,16.5,34.2,19.7,1.05,1250.4,3.01,0.357,395.5,95.7,Normal
2025-07-24 13:25:00,337.75,99.57,48.2,58.6,96.58,50.2,7.12,91.81,14.24,-18.25,14.5,39.9,112.2,-0.92,1386.9,3.05,0.345,134.9,144.1,Normal
2025-07-24 13:30:00,303.1,-43.56,37.7,55.1,92.62,47.2,20.55,86.79,12.63,-5.74,16.8,41.1,32.9,0.61,9.1,9.76,0.35,251.7,164.4,Normal
2025-07-24 13:35:00,359.8,-67.6,49.6,55.4,87.39,53.7,16.15,85.31,12.52,10.94,25.3,56.3,43.2,-2.89,2225.1,-9.89,0.176,374.7,335.5,Normal
2025-07-24 13:40:00,360.45,-36.05,24.4,55.1,86.21,75.0,29.29,87.58,12.53,-0.14,16.5,37.3,65.2,-1.34,1827.1,-5.84,0.138,307.2,116.9,Normal
2025-07-24 13:45:00,323.16,89.66,42.3,53.0,97.79,63.2,48.09,88.65,13.12,18.71,22.9,40.8,37.2,-0.84,1006.0,7.83,0.357,105.5,307.9,Normal
2025-07-24 13:50:00,307.38,-94.39,44.6,53.8,94.19,61.7,48.18,85.7,13.92,-8.83,10.8,44.6,16.3,-0.02,280.6,7.99,0.178,315.5,248.5,Normal
2025-07-24 13:55:00,358.05,97.18,31.4,53.6,91.59,62.2,9.61,92.66,12.65,11.06,14.1,44.9,36.8,-2.52,1305.3,-3.71,0.101,260.8,378.5,Normal
2025-07-24 14:00:00,315.87,-67.62,47.9,51.3,87.9,50.9,26.98,93.18,12.54,-16.72,28.0,44.9,119.2,-1.84,1335.0,-4.5,0.264,285.0,190.0,Normal
2025-07-24 14:05:00,325.63,68.86,26.7,53.8,90.43,53.2,36.2,94.19,12.6,-12.9,19.3,38.2,113.3,-1.22,4829.1,-8.1,0.353,62.9,301.2,Normal
2025-07-24 14:10:00,381.78,-63.62,41.7,49.5,86.25,75.7,4.52,90.36,12.21,-14.55,12.0,54.7,63.5,-2.29,4062.3,6.77,0.305,140.3,370.3,Normal
2025-07-24 14:15:00,396.72,84.63,45.2,46.7,93.82,72.2,8.28,89.38,13.69,10.8,12.4,46.9,76.0,-0.86,3520.9,6.63,0.196,127.3,233.3,Normal
2025-07-24 14:20:00,335.15,-94.23,27.4,50.3,97.43,33.2,16.66,94.89,12.75,12.97,14.6,54.2,35.8,-2.54,482.3,6.32,0.115,118.6,383.8,Normal
2025-07-24 14:25:00,331.32,3.61,47.8,48.6,90.0,46.3,8.74,93.67,12.11,12.03,20.2,59.1,74.7,0.8,731.1,2.58,0.102,163.2,178.3,Normal
2025-07-24 14:30:00,393.42,44.72,24.8,46.3,89.27,63.6,21.74,90.9,12.91,6.47,12.8,42.3,103.2,-0.92,4682.6,-5.87,0.212,312.0,93.0,Normal
2025-07-24 14:35:00,320.82,34.7,21.0,50.1,88.26,48.7,47.31,87.19,13.62,16.85,20.4,43.6,12.7,-0.04,2137.7,5.43,0.4,111.5,1.7,Normal
2025-07-24 14:40:00,366.55,65.99,29.1,47.7,95.62,44.3,2.64,94.33,12.09,-7.55,16.2,37.0,90.5,1.09,4493.7,3.15,0.204,255.5,62.4,Normal
2025-07-24 14:45:00,319.61,-33.19,44.3,44.3,89.53,76.9,28.07,91.99,12.7,15.86,28.4,34.3,104.7,0.57,661.2,-1.89,0.322,148.3,36.2,Normal
2025-07-24 14:50:00,325.37,-45.55,46.1,49.1,96.92,65.3,20.03,90.29,12.71,-7.67,15.8,56.9,14.2,1.19,1819.8,2.71,0.243,140.8,337.1,Normal
2025-07-24 14:55:00,378.91,-19.85,43.5,48.5,93.67,56.1,21.97,93.73,14.43,11.93,14.0,49.4,27.4,-0.78,3406.5,3.87,0.229,72.2,132.1,Normal
2025-07-24 15:00:00,313.45,-8.07,45.2,43.8,91.75,60.4,22.9,90.8,12.59,-7.49,22.8,32.2,16.4,-2.81,3076.2,5.41,0.243,331.0,256.1,Normal
2025-07-24 15:05:00,392.46,-84.98,23.5,41.4,87.09,35.9,26.42,85.5,13.12,-12.09,19.2,56.9,68.4,0.37,4721.2,8.12,0.124,341.7,41.0,Normal
2025-07-24 15:10:00,323.61,-36.65,40.1,43.9,95.08,50.5,21.72,94.77,12.8,-3.21,28.9,42.0,116.4,-0.46,4443.7,-9.22,0.115,285.8,268.2,Normal
2025-07-24 15:15:00,330.78,-28.77,30.5,43.8,96.42,44.2,8.81,86.73,14.17,14.16,27.0,42.5,102.8,-2.52,2107.7,-1.98,0.37,150.2,336.0,Normal
2025-07-24 15:20:00,312.4,-92.53,48.2,43.6,96.34,54.7,7.13,92.9,12.64,9.48,10.4,30.3,85.9,-1.99,821.5,8.44,0.163,161.0,257.4,Normal
2025-07-24 15:25:00,358.09,-77.59,25.8,40.6,87.8,50.3,29.94,92.85,13.7,-17.74,24.4,43.7,117.5,-1.07,4458.3,6.9,0.203,321.1,148.5,Normal
2025-07-24 15:30:00,305.48,-78.88,25.4,44.3,93.87,34.0,34.75,92.04,13.33,10.76,26.0,42.8,109.7,2.09,1981.2,-0.17,0.187,103.4,131.4,Normal
2025-07-24 15:35:00,337.18,-67.47,34.9,43.4,88.43,46.8,3.09,89.66,13.68,7.38,15.6,56.3,90.7,-1.59,3319.2,-3.21,0.12,283.0,375.4,Normal
2025-07-24 15:40:00,374.15,49.55,39.1,40.9,85.33,63.5,12.29,94.73,12.46,-14.06,24.8,55.4,47.7,-2.31,3703.3,-1.76,0.298,121.7,211.2,Normal
2025-07-24 15:45:00,305.65,-23.07,33.3,42.9,89.7,46.1,44.73,91.97,12.4,-6.66,13.0,45.7,87.8,2.32,2510.4,-6.74,0.378,227.0,207.8,Normal
2025-07-24 15:50:00,374.5,-42.68,22.2,42.3,93.48,37.1,19.01,94.49,12.06,-9.53,20.3,56.1,14.3,-2.6,1489.1,-5.97,0.244,262.6,112.8,Normal
2025-07-24 15:55:00,309.04,58.42,25.7,41.7,92.8,71.5,7.15,85.72,13.93,11.98,28.4,33.1,117.6,2.89,4169.4,7.55,0.257,331.0,246.4,Normal
2025-07-24 16:00:00,374.36,-71.84,32.4,40.3,90.87,77.1,44.68,94.8,13.92,17.14,26.2,32.3,81.3,-0.83,710.0,-6.71,0.165,267.5,33.8,Normal
2025-07-24 16:05:00,338.22,25.91,35.6,40.6,92.75,64.0,46.15,94.88,12.47,-13.56,13.1,56.5,6.0,2.72,4300.7,-1.91,0.361,23.8,321.6,Normal
2025-07-24 16:10:00,385.67,86.76,31.5,39.4,93.79,60.7,39.5,93.0,14.05,7.61,27.2,48.0,97.9,-1.93,2116.1,8.16,0.116,277.3,242.8,Normal
2025-07-24 16:15:00,389.92,-76.19,41.0,37.4,86.62,54.2,17.02,94.11,14.45,-9.68,10.1,33.6,55.8,2.5,1489.7,-4.01,0.171,118.6,314.4,Normal
2025-07-24 16:20:00,317.63,57.76,24.7,39.9,86.48,73.6,19.85,88.56,14.24,-17.1,11.1,41.9,23.5,1.91,117.0,-1.86,0.289,352.2,31.7,Normal
2025-07-24 16:25:00,347.91,-1.53,48.4,36.1,96.96,36.1,48.55,89.71,14.2,-3.12,29.7,41.3,46.2,2.4,2020.2,-2.8,0.23,42.5,322.8,Normal
2025-07-24 16:30:00,376.48,-20.19,45.3,35.0,92.61,52.6,34.5,88.96,13.39,-4.14,21.1,55.2,72.8,-1.36,3240.1,-6.46,0.263,63.0,370.7,Normal
2025-07-24 16:35:00,352.96,96.56,43.7,38.4,90.53,74.8,32.47,92.22,12.85,-3.66,18.9,57.7,38.7,-1.43,9.7,7.47,0.129,382.7,377.2,Normal
2025-07-24 16:40:00,398.59,-53.23,42.3,36.2,91.57,52.6,34.43,91.6,12.1,-9.87,20.7,36.1,44.8,2.16,3543.2,5.41,0.157,300.7,41.8,Normal
2025-07-24 16:45:00,338.7,62.09,33.4,35.9,97.09,54.5,40.12,90.01,14.18,11.5,11.7,33.2,4.6,1.14,3083.5,9.63,0.202,131.3,14.3,Normal
2025-07-24 16:50:00,354.17,-18.78,24.2,33.1,92.46,55.8,38.9,94.88,12.19,16.14,21.8,55.2,49.6,-2.34,4847.2,6.18,0.398,60.5,165.2,Normal
2025-07-24 16:55:00,375.13,81.73,31.7,35.9,91.53,75.4,0.04,91.91,12.19,16.93,24.6,32.5,57.4,-1.9,2592.0,-9.83,0.336,71.0,199.5,Normal
2025-07-24 17:00:00,334.51,19.61,44.7,30.7,88.41,35.3,39.94,89.54,14.09,-2.36,14.4,44.1,76.5,1.34,494.2,-4.31,0.333,179.9,257.7,Normal
2025-07-24 17:05:00,330.9,-51.37,31.1,33.6,93.7,51.7,20.59,85.28,13.6,3.34,26.4,40.0,63.9,-0.99,4392.5,-6.99,0.178,132.6,345.6,Normal
2025-07-24 17:10:00,371.89,50.06,42.0,31.5,85.95,40.2,44.42,90.23,12.65,-8.36,27.0,49.2,31.3,2.12,4331.7,9.68,0.139,284.6,14.7,Normal
2025-07-24 17:15:00,306.45,-58.82,41.3,33.4,91.87,35.6,41.18,86.59,12.76,-10.45,25.6,32.7,14.8,2.04,2359.2,0.93,0.178,103.8,42.9,Normal
2025-07-24 17:20:00,354.99,-33.05,27.2,32.0,87.98,30.3,16.1,87.04,13.53,7.55,11.5,44.9,79.4,0.72,2358.0,-9.04,0.207,232.8,142.0,Normal
2025-07-24 17:25:00,312.54,-63.04,22.0,32.1,97.73,41.6,25.33,94.03,13.87,3.53,15.6,32.1,38.6,2.17,1292.0,7.0,0.221,318.6,184.0,Normal
2025-07-24 17:30:00,364.29,-51.58,41.0,30.4,93.78,38.6,6.97,91.11,13.2,6.5,29.5,50.5,55.8,1.23,3595.1,-3.84,0.321,111.2,210.8,Normal
2025-07-24 17:35:00,308.53,49.51,34.6,33.0,89.09,77.1,23.34,92.37,13.32,-15.64,17.0,42.7,81.9,2.33,954.5,-9.97,0.38,33.0,303.9,Normal
2025-07-24 17:40:00,320.48,-25.37,23.5,31.3,88.48,38.0,9.46,92.76,13.11,11.07,12.0,36.9,70.2,2.67,4897.5,-9.14,0.131,69.6,148.7,Normal
